model;klasa;counts
Mercedes-Benz Citan;X;5
Opel Signum;X;5
Hyundai I40;X;5
Chevrolet Silverado;X;5
Alfa-Romeo Tonale;X;5
Volkswagen Jetta;X;5
Peugeot 80;X;5
Honda Logo;X;4
Mitsubishi Grandis;X;4
Volvo XC70;X;4
Hyundai Accent;X;4
Kia Optima;X;4
Subaru Tribeca;X;4
Volkswagen Phaeton;X;4
Mazda Demio;X;4
Alfa-Romeo 166;X;4
Fiat Freemont;X;4
Fiat Stilo;X;4
Hyundai Genesis;X;4
Suzuki Kizashi;X;4
Alfa-Romeo 155;X;4
Volkswagen Corrado;X;4
Renault R19;X;4
Toyota Tundra;X;3
BMW I3;X;3
Suzuki Samurai;X;3
Chevrolet Ssr;X;3
Suzuki Wagon;X;3
Toyota 4-Runner;X;3
Subaru Trezia;X;3
Toyota FJ Cruiser;X;3
Ford Explorer;X;3
Nissan Sunny;X;3
Mazda RX;X;3
Nissan 200;X;3
Audi Coupe;X;3
Nissan Pixo;X;3
Alfa-Romeo 75;X;3
Ford Sierra;X;3
Nissan Terrano;X;3
Opel Ampera;X;3
Mazda Tribute;X;3
Mitsubishi 3000;X;3
Fiat Qubo;X;3
Citroen C8;X;3
Jeep Patriot;X;3
Mazda E;X;3
Mazda 323;X;3
Honda Nsx;X;2
Honda Prelude;X;2
Mini;X;2
Mercedes-Benz Vaneo;X;2
Hyundai Atos;X;2
Hyundai Coupe;X;2
BMW Z1;X;2
Hyundai Elantra;X;2
Mazda Premacy;X;2
Mazda 626;X;2
Toyota Camry;X;2
Kia Magentis;X;2
Mitsubishi Attrage;X;2
Mercedes-Benz;X;2
Seat Arosa;X;2
Honda Legend;X;2
Chevrolet Blazer;X;2
BMW;X;2
Fiat Idea;X;2
Opel Senator;X;2
Citroen Jumpy;X;2
Nissan Townstar;X;2
Alfa-Romeo Zagato;X;2
Nissan Pathfinder;X;2
Nissan Cube;X;2
Renault R5;X;2
Mitsubishi Pajero;X;2
Mitsubishi L;X;2
Mitsubishi Galant;X;2
Citroen C6;X;2
Renault Arkana;X;2
Volkswagen;X;1
Toyota Picnic;X;1
Audi S2;X;1
Audi Sq8;X;1
Audi Quattro;X;1
Volvo C30;X;1
Volkswagen Vento;X;1
Audi;X;1
Toyota Model;X;1
Renault Avantime;X;1
Toyota Lite;X;1
Mercedes-Benz SEC;X;1
Ford Scorpio;X;1
Nissan Patrol;X;1
Nissan NV200;X;1
Nissan Maxima;X;1
Ford Transit;X;1
Honda;X;1
Nissan 100;X;1
Mitsubishi Carisma;X;1
Honda Odyssey;X;1
Mercedes-Benz Sprinter;X;1
Honda Stream;X;1
