model;rok;cena;cena_srednia;cena_procent;przebieg;przebieg_sredni;przebieg_procent;wiek_ogloszenia;link
Mercedes-Benz KlasaC;2021;54.85;62.47;-12.2;17.9;43.19;-58.6;61;autoscout24.ch/en/d/11600830
Mercedes-Benz KlasaC;2015;29.5;33.62;-12.3;74.0;104.71;-29.3;100;autoscout24.ch/en/d/11494158
Mercedes-Benz KlasaC;2020;49.8;56.87;-12.4;28.9;54.48;-47.0;41;autoscout24.ch/en/d/11655193
Mercedes-Benz KlasaC;2018;40.9;46.84;-12.7;70.2;75.27;-6.7;156;autoscout24.ch/en/d/11333464
Mercedes-Benz KlasaC;2017;34.3;39.28;-12.7;60.559;97.48;-37.9;63;autoscout24.ch/en/d/11594960
Mercedes-Benz KlasaC;2010;12.9;14.83;-13.0;129.2;141.83;-8.9;92;autoscout24.ch/en/d/11505947
Mercedes-Benz KlasaC;2017;33.9;39.28;-13.7;65.7;97.48;-32.6;113;autoscout24.ch/en/d/11447721
Mercedes-Benz KlasaC;2015;28.999;33.62;-13.7;42.0;104.71;-59.9;59;autoscout24.ch/en/d/11595547
Mercedes-Benz KlasaC;2012;17.9;20.8;-13.9;38.0;124.65;-69.5;76;autoscout24.ch/en/d/11547750
Mercedes-Benz KlasaC;2012;17.89;20.8;-14.0;111.83;124.65;-10.3;66;autoscout24.ch/en/d/11575796
Mercedes-Benz KlasaC;2015;28.8;33.62;-14.3;97.0;104.71;-7.4;135;autoscout24.ch/en/d/11397369
Mercedes-Benz KlasaC;2016;34.99;40.87;-14.4;72.5;100.7;-28.0;437;autoscout24.ch/en/d/10563194
Mercedes-Benz KlasaC;2018;39.8;46.84;-15.0;48.0;75.27;-36.2;237;autoscout24.ch/en/d/11103944
Mercedes-Benz KlasaC;2020;47.8;56.87;-15.9;46.5;54.48;-14.6;107;autoscout24.ch/en/d/11474240
Mercedes-Benz KlasaC;2022;65.0;77.62;-16.3;23.0;26.06;-11.7;2;autoscout24.ch/en/d/11746027
Mercedes-Benz KlasaC;2017;32.888;39.28;-16.3;85.0;97.48;-12.8;59;autoscout24.ch/en/d/11595428
Mercedes-Benz KlasaC;2022;64.9;77.62;-16.4;20.8;26.06;-20.2;29;autoscout24.ch/en/d/11678702
Mercedes-Benz KlasaC;2022;64.9;77.62;-16.4;18.5;26.06;-29.0;29;autoscout24.ch/en/d/11678670
Mercedes-Benz KlasaC;2013;25.9;31.03;-16.5;118.0;126.28;-6.6;87;autoscout24.ch/en/d/11515919
Mercedes-Benz KlasaC;2017;32.59;39.28;-17.0;79.89;97.48;-18.0;17;autoscout24.ch/en/d/11716800
Mercedes-Benz KlasaC;2016;33.9;40.87;-17.1;57.0;100.7;-43.4;358;autoscout24.ch/en/d/10775153
Mercedes-Benz KlasaC;2015;27.8;33.62;-17.3;89.256;104.71;-14.8;633;autoscout24.ch/en/d/9639136
Mercedes-Benz KlasaC;2017;31.9;39.28;-18.8;69.0;97.48;-29.2;17;autoscout24.ch/en/d/11706562
Mercedes-Benz KlasaC;2017;31.9;39.28;-18.8;60.0;97.48;-38.4;633;autoscout24.ch/en/d/9825350
Mercedes-Benz KlasaC;2018;37.9;46.84;-19.1;8.0;75.27;-89.4;633;autoscout24.ch/en/d/9210776
Mercedes-Benz KlasaC;2018;37.8;46.84;-19.3;54.3;75.27;-27.9;65;autoscout24.ch/en/d/11587406
Mercedes-Benz KlasaC;2008;14.999;18.62;-19.4;95.8;179.14;-46.5;58;autoscout24.ch/en/d/11600407
Mercedes-Benz KlasaC;2016;32.9;40.87;-19.5;58.5;100.7;-41.9;108;autoscout24.ch/en/d/11462526
Mercedes-Benz KlasaC;2016;32.9;40.87;-19.5;35.0;100.7;-65.2;63;autoscout24.ch/en/d/11585382
Mercedes-Benz KlasaC;2015;26.8;33.62;-20.3;57.9;104.71;-44.7;37;autoscout24.ch/en/d/11665337
Mercedes-Benz KlasaC;2006;5.9;7.45;-20.8;131.0;141.23;-7.2;8;autoscout24.ch/en/d/11735906
Mercedes-Benz KlasaC;2017;30.9;39.28;-21.3;92.0;97.48;-5.6;522;autoscout24.ch/en/d/10315571
Mercedes-Benz KlasaC;2017;30.9;39.28;-21.3;80.48;97.48;-17.4;56;autoscout24.ch/en/d/11615489
Mercedes-Benz KlasaC;2016;31.9;40.87;-21.9;78.5;100.7;-22.0;14;autoscout24.ch/en/d/11713119
Mercedes-Benz KlasaC;2016;31.8;40.87;-22.2;73.35;100.7;-27.2;258;autoscout24.ch/en/d/11054373
Mercedes-Benz KlasaC;2011;14.85;19.14;-22.4;62.0;145.62;-57.4;63;autoscout24.ch/en/d/11584994
Mercedes-Benz KlasaC;1992;14.9;19.27;-22.7;144.0;184.66;-22.0;9;autoscout24.ch/en/d/11721844
Mercedes-Benz KlasaC;2003;5.8;7.53;-23.0;109.5;122.63;-10.7;84;autoscout24.ch/en/d/11527029
Mercedes-Benz KlasaC;2001;8.9;11.62;-23.4;100.0;145.58;-31.3;30;autoscout24.ch/en/d/11675708
Mercedes-Benz KlasaC;2017;29.799;39.28;-24.1;58.0;97.48;-40.5;24;autoscout24.ch/en/d/11691584
Mercedes-Benz KlasaC;2017;29.8;39.28;-24.1;35.0;97.48;-64.1;68;autoscout24.ch/en/d/11580290
Mercedes-Benz KlasaC;2017;29.8;39.28;-24.1;25.0;97.48;-74.4;35;autoscout24.ch/en/d/11663796
Mercedes-Benz KlasaC;2020;42.9;56.87;-24.6;48.0;54.48;-11.9;4;autoscout24.ch/en/d/11730751
Mercedes-Benz KlasaC;2019;39.99;53.19;-24.8;54.9;65.68;-16.4;31;autoscout24.ch/en/d/11672939
Mercedes-Benz KlasaC;2017;29.5;39.28;-24.9;86.0;97.48;-11.8;57;autoscout24.ch/en/d/11613043
Mercedes-Benz KlasaC;2019;39.9;53.19;-25.0;19.5;65.68;-70.3;229;autoscout24.ch/en/d/11126453
Mercedes-Benz KlasaC;2015;24.9;33.62;-25.9;55.5;104.71;-47.0;633;autoscout24.ch/en/d/9986572
Mercedes-Benz KlasaC;2001;8.5;11.62;-26.9;130.5;145.58;-10.4;69;autoscout24.ch/en/d/11569137
Mercedes-Benz KlasaC;2016;29.85;40.87;-27.0;16.5;100.7;-83.6;85;autoscout24.ch/en/d/11523946
Mercedes-Benz KlasaC;2003;5.4;7.53;-28.3;79.0;122.63;-35.6;34;autoscout24.ch/en/d/11667507
Mercedes-Benz KlasaC;2012;14.9;20.8;-28.4;94.002;124.65;-24.6;51;autoscout24.ch/en/d/11619461
Mercedes-Benz KlasaC;2019;37.9;53.19;-28.7;54.3;65.68;-17.3;313;autoscout24.ch/en/d/10903378
Mercedes-Benz KlasaC;2015;23.9;33.62;-28.9;82.0;104.71;-21.7;58;autoscout24.ch/en/d/11599451
Mercedes-Benz KlasaC;2015;23.9;33.62;-28.9;29.0;104.71;-72.3;42;autoscout24.ch/en/d/11643791
Mercedes-Benz KlasaC;2017;27.9;39.28;-29.0;91.0;97.48;-6.6;174;autoscout24.ch/en/d/11279929
Mercedes-Benz KlasaC;2019;37.79;53.19;-29.0;24.5;65.68;-62.7;23;autoscout24.ch/en/d/11692610
Mercedes-Benz KlasaC;2016;28.8;40.87;-29.5;80.5;100.7;-20.1;633;autoscout24.ch/en/d/9037112
Mercedes-Benz KlasaC;1997;7.8;11.07;-29.5;114.0;149.05;-23.5;15;autoscout24.ch/en/d/11710609
Mercedes-Benz KlasaC;2018;32.9;46.84;-29.8;56.3;75.27;-25.2;61;autoscout24.ch/en/d/11592751
Mercedes-Benz KlasaC;2014;19.999;28.54;-29.9;114.974;122.8;-6.4;468;autoscout24.ch/en/d/10476014
Mercedes-Benz KlasaC;2014;19.9;28.54;-30.3;92.0;122.8;-25.1;37;autoscout24.ch/en/d/11656492
Mercedes-Benz KlasaC;2016;28.3;40.87;-30.8;81.0;100.7;-19.6;520;autoscout24.ch/en/d/10321991
Mercedes-Benz KlasaC;2009;12.9;18.84;-31.5;92.0;159.59;-42.4;342;autoscout24.ch/en/d/10818478
Mercedes-Benz KlasaC;2018;31.95;46.84;-31.8;64.4;75.27;-14.4;184;autoscout24.ch/en/d/11239096
Mercedes-Benz KlasaC;1993;15.9;23.75;-33.1;107.5;186.91;-42.5;337;autoscout24.ch/en/d/10832792
Mercedes-Benz KlasaC;2010;9.9;14.83;-33.2;93.8;141.83;-33.9;22;autoscout24.ch/en/d/11694848
Mercedes-Benz KlasaC;2014;18.9;28.54;-33.8;49.85;122.8;-59.4;138;autoscout24.ch/en/d/11388505
Mercedes-Benz KlasaC;2023;43.98;67.43;-34.8;20.517;28.5;-28.0;55;autoscout24.ch/en/d/11619982
Mercedes-Benz KlasaC;1993;15.28;23.75;-35.7;132.28;186.91;-29.2;162;autoscout24.ch/en/d/11314989
Mercedes-Benz KlasaC;2001;7.2;11.62;-38.0;115.6;145.58;-20.6;483;autoscout24.ch/en/d/10431387
Mercedes-Benz KlasaC;2014;17.7;28.54;-38.0;60.0;122.8;-51.1;96;autoscout24.ch/en/d/11507311
Mercedes-Benz KlasaC;2018;28.9;46.84;-38.3;64.106;75.27;-14.8;87;autoscout24.ch/en/d/11528128
Mercedes-Benz KlasaC;2005;3.9;6.36;-38.7;135.0;166.05;-18.7;175;autoscout24.ch/en/d/11275563
Mercedes-Benz KlasaC;2001;6.99;11.62;-39.8;120.0;145.58;-17.6;51;autoscout24.ch/en/d/11619732
Mercedes-Benz KlasaC;2020;34.0;56.87;-40.2;29.0;54.48;-46.8;1;autoscout24.ch/en/d/11747900
Mercedes-Benz KlasaC;2015;19.99;33.62;-40.5;80.0;104.71;-23.6;370;autoscout24.ch/en/d/10744393
Mercedes-Benz KlasaC;2015;19.9;33.62;-40.8;71.6;104.71;-31.6;85;autoscout24.ch/en/d/11533073
Mercedes-Benz KlasaC;2015;19.9;33.62;-40.8;52.0;104.71;-50.3;71;autoscout24.ch/en/d/11561553
Mercedes-Benz KlasaC;1996;4.9;8.32;-41.1;128.9;147.98;-12.9;167;autoscout24.ch/en/d/11301769
Mercedes-Benz KlasaC;1996;4.9;8.32;-41.1;71.602;147.98;-51.6;134;autoscout24.ch/en/d/11401703
Mercedes-Benz KlasaC;2009;10.9;18.84;-42.1;101.0;159.59;-36.7;400;autoscout24.ch/en/d/10673880
Mercedes-Benz KlasaC;2020;32.9;56.87;-42.1;34.0;54.48;-37.6;633;autoscout24.ch/en/d/8107736
Mercedes-Benz KlasaC;2011;10.99;19.14;-42.6;127.0;145.62;-12.8;170;autoscout24.ch/en/d/11289876
Mercedes-Benz KlasaC;2022;43.9;77.62;-43.4;10.0;26.06;-61.6;294;autoscout24.ch/en/d/10955070
Mercedes-Benz KlasaC;2016;22.9;40.87;-44.0;91.4;100.7;-9.2;38;autoscout24.ch/en/d/11654005
Mercedes-Benz KlasaC;2016;22.9;40.87;-44.0;82.0;100.7;-18.6;282;autoscout24.ch/en/d/10987553
Mercedes-Benz KlasaC;2016;22.8;40.87;-44.2;87.0;100.7;-13.6;238;autoscout24.ch/en/d/11103369
Mercedes-Benz KlasaC;2016;22.5;40.87;-44.9;46.0;100.7;-54.3;589;autoscout24.ch/en/d/10131831
Mercedes-Benz KlasaC;2013;16.9;31.03;-45.5;90.0;126.28;-28.7;617;autoscout24.ch/en/d/10066217
Mercedes-Benz KlasaC;2013;16.5;31.03;-46.8;72.0;126.28;-43.0;295;autoscout24.ch/en/d/10954850
Mercedes-Benz KlasaC;2010;7.8;14.83;-47.4;133.0;141.83;-6.2;5;autoscout24.ch/en/d/11728297
Mercedes-Benz KlasaC;2014;14.99;28.54;-47.5;105.85;122.8;-13.8;103;autoscout24.ch/en/d/11478037
Mercedes-Benz KlasaC;2019;27.9;53.19;-47.5;45.685;65.68;-30.4;198;autoscout24.ch/en/d/11193214
Mercedes-Benz KlasaC;2011;9.9;19.14;-48.3;106.582;145.62;-26.8;2;autoscout24.ch/en/d/11733881
Mercedes-Benz KlasaE;2010;16.8;17.74;-5.3;98.0;140.36;-30.2;63;autoscout24.ch/en/d/11588419
Mercedes-Benz KlasaE;2021;69.9;74.17;-5.8;28.828;32.85;-12.2;293;autoscout24.ch/en/d/10960404
Mercedes-Benz KlasaE;2021;69.9;74.17;-5.8;6.0;32.85;-81.7;321;autoscout24.ch/en/d/10879817
Mercedes-Benz KlasaE;2018;45.8;49.03;-6.6;82.0;86.83;-5.6;65;autoscout24.ch/en/d/11589416
Mercedes-Benz KlasaE;2017;42.9;45.93;-6.6;49.5;93.63;-47.1;191;autoscout24.ch/en/d/11215103
Mercedes-Benz KlasaE;2011;16.9;18.14;-6.8;110.0;139.25;-21.0;48;autoscout24.ch/en/d/11629669
Mercedes-Benz KlasaE;1993;22.9;24.56;-6.8;83.0;167.13;-50.3;84;autoscout24.ch/en/d/11528751
Mercedes-Benz KlasaE;2011;16.9;18.14;-6.8;61.0;139.25;-56.2;166;autoscout24.ch/en/d/11303427
Mercedes-Benz KlasaE;2020;57.8;62.69;-7.8;11.0;55.69;-80.2;248;autoscout24.ch/en/d/11074714
Mercedes-Benz KlasaE;2009;12.9;14.0;-7.9;141.0;188.87;-25.3;239;autoscout24.ch/en/d/11100736
Mercedes-Benz KlasaE;2010;16.3;17.74;-8.1;117.8;140.36;-16.1;13;autoscout24.ch/en/d/11716112
Mercedes-Benz KlasaE;2018;44.9;49.03;-8.4;59.629;86.83;-31.3;35;autoscout24.ch/en/d/11670914
Mercedes-Benz KlasaE;2019;49.5;54.04;-8.4;23.4;69.83;-66.5;105;autoscout24.ch/en/d/11479600
Mercedes-Benz KlasaE;2018;44.8;49.03;-8.6;70.0;86.83;-19.4;175;autoscout24.ch/en/d/11273293
Mercedes-Benz KlasaE;2009;12.8;14.0;-8.6;93.0;188.87;-50.8;41;autoscout24.ch/en/d/11648332
Mercedes-Benz KlasaE;2011;16.5;18.14;-9.0;97.0;139.25;-30.3;74;autoscout24.ch/en/d/11553688
Mercedes-Benz KlasaE;2018;44.5;49.03;-9.2;35.0;86.83;-59.7;149;autoscout24.ch/en/d/11354454
Mercedes-Benz KlasaE;2010;15.999;17.74;-9.8;115.0;140.36;-18.1;32;autoscout24.ch/en/d/11670626
Mercedes-Benz KlasaE;2011;16.0;18.14;-11.8;105.75;139.25;-24.1;56;autoscout24.ch/en/d/11606967
Mercedes-Benz KlasaE;2014;24.9;28.23;-11.8;69.5;118.39;-41.3;105;autoscout24.ch/en/d/11480446
Mercedes-Benz KlasaE;2013;24.8;28.25;-12.2;94.5;129.1;-26.8;112;autoscout24.ch/en/d/11453764
Mercedes-Benz KlasaE;2018;42.997;49.03;-12.3;49.985;86.83;-42.4;262;autoscout24.ch/en/d/11039345
Mercedes-Benz KlasaE;2020;54.9;62.69;-12.4;37.05;55.69;-33.5;63;autoscout24.ch/en/d/11586834
Mercedes-Benz KlasaE;2018;42.9;49.03;-12.5;52.0;86.83;-40.1;118;autoscout24.ch/en/d/11435395
Mercedes-Benz KlasaE;2017;39.9;45.93;-13.1;60.3;93.63;-35.6;35;autoscout24.ch/en/d/11663925
Mercedes-Benz KlasaE;2017;39.9;45.93;-13.1;52.9;93.63;-43.5;72;autoscout24.ch/en/d/11557779
Mercedes-Benz KlasaE;2012;17.99;20.83;-13.6;107.895;124.82;-13.6;118;autoscout24.ch/en/d/11437629
Mercedes-Benz KlasaE;2014;24.05;28.23;-14.8;100.0;118.39;-15.5;75;autoscout24.ch/en/d/11553476
Mercedes-Benz KlasaE;2017;38.9;45.93;-15.3;46.5;93.63;-50.3;633;autoscout24.ch/en/d/9297567
Mercedes-Benz KlasaE;2014;23.88;28.23;-15.4;96.0;118.39;-18.9;42;autoscout24.ch/en/d/11645707
Mercedes-Benz KlasaE;2018;41.5;49.03;-15.4;65.0;86.83;-25.1;504;autoscout24.ch/en/d/10376010
Mercedes-Benz KlasaE;2019;44.9;54.04;-16.9;41.0;69.83;-41.3;17;autoscout24.ch/en/d/11715499
Mercedes-Benz KlasaE;2020;51.8;62.69;-17.4;38.0;55.69;-31.8;23;autoscout24.ch/en/d/11703633
Mercedes-Benz KlasaE;2017;37.89;45.93;-17.5;88.5;93.63;-5.5;87;autoscout24.ch/en/d/11517259
Mercedes-Benz KlasaE;2017;37.9;45.93;-17.5;78.0;93.63;-16.7;46;autoscout24.ch/en/d/11632800
Mercedes-Benz KlasaE;2017;37.5;45.93;-18.4;78.0;93.63;-16.7;230;autoscout24.ch/en/d/11122671
Mercedes-Benz KlasaE;2018;39.999;49.03;-18.4;32.6;86.83;-62.5;633;autoscout24.ch/en/d/8619516
Mercedes-Benz KlasaE;2014;22.999;28.23;-18.5;88.0;118.39;-25.7;60;autoscout24.ch/en/d/11594554
Mercedes-Benz KlasaE;2018;39.8;49.03;-18.8;57.0;86.83;-34.4;310;autoscout24.ch/en/d/10911663
Mercedes-Benz KlasaE;2017;37.2;45.93;-19.0;75.8;93.63;-19.0;72;autoscout24.ch/en/d/11569620
Mercedes-Benz KlasaE;2012;16.8;20.83;-19.3;80.0;124.82;-35.9;67;autoscout24.ch/en/d/11572837
Mercedes-Benz KlasaE;2017;36.999;45.93;-19.4;58.8;93.63;-37.2;246;autoscout24.ch/en/d/11081526
Mercedes-Benz KlasaE;2018;38.9;49.03;-20.7;45.0;86.83;-48.2;24;autoscout24.ch/en/d/11700829
Mercedes-Benz KlasaE;2018;38.5;49.03;-21.5;63.3;86.83;-27.1;85;autoscout24.ch/en/d/11533075
Mercedes-Benz KlasaE;2003;9.8;12.5;-21.6;89.2;153.03;-41.7;633;autoscout24.ch/en/d/2525169
Mercedes-Benz KlasaE;2010;13.89;17.74;-21.7;118.222;140.36;-15.8;50;autoscout24.ch/en/d/11631307
Mercedes-Benz KlasaE;2004;9.98;12.8;-22.0;114.0;168.66;-32.4;633;autoscout24.ch/en/d/9835987
Mercedes-Benz KlasaE;2019;42.0;54.04;-22.3;38.0;69.83;-45.6;65;autoscout24.ch/en/d/11587389
Mercedes-Benz KlasaE;2019;41.9;54.04;-22.5;25.9;69.83;-62.9;17;autoscout24.ch/en/d/11707237
Mercedes-Benz KlasaE;1999;4.99;6.53;-23.6;195.7;211.23;-7.4;178;autoscout24.ch/en/d/11263003
Mercedes-Benz KlasaE;2012;15.9;20.83;-23.7;57.0;124.82;-54.3;28;autoscout24.ch/en/d/11682021
Mercedes-Benz KlasaE;2013;21.5;28.25;-23.9;103.902;129.1;-19.5;85;autoscout24.ch/en/d/11522259
Mercedes-Benz KlasaE;2017;34.9;45.93;-24.0;80.0;93.63;-14.6;28;autoscout24.ch/en/d/11692013
Mercedes-Benz KlasaE;2017;34.9;45.93;-24.0;11.5;93.63;-87.7;618;autoscout24.ch/en/d/10064043
Mercedes-Benz KlasaE;2018;36.9;49.03;-24.7;54.0;86.83;-37.8;212;autoscout24.ch/en/d/11154457
Mercedes-Benz KlasaE;1994;19.9;26.53;-25.0;116.476;145.99;-20.2;149;autoscout24.ch/en/d/11356080
Mercedes-Benz KlasaE;2015;26.9;35.99;-25.3;57.5;110.87;-48.1;49;autoscout24.ch/en/d/11623634
Mercedes-Benz KlasaE;2004;9.5;12.8;-25.8;110.0;168.66;-34.8;59;autoscout24.ch/en/d/11596803
Mercedes-Benz KlasaE;2019;39.999;54.04;-26.0;30.0;69.83;-57.0;43;autoscout24.ch/en/d/11649422
Mercedes-Benz KlasaE;2017;33.9;45.93;-26.2;67.0;93.63;-28.4;119;autoscout24.ch/en/d/11433334
Mercedes-Benz KlasaE;1997;9.9;13.48;-26.6;93.0;120.04;-22.5;33;autoscout24.ch/en/d/11669756
Mercedes-Benz KlasaE;2012;14.9;20.83;-28.5;111.0;124.82;-11.1;83;autoscout24.ch/en/d/11531751
Mercedes-Benz KlasaE;2017;32.8;45.93;-28.6;71.0;93.63;-24.2;287;autoscout24.ch/en/d/10973609
Mercedes-Benz KlasaE;2014;20.0;28.23;-29.2;100.0;118.39;-15.5;15;autoscout24.ch/en/d/11710861
Mercedes-Benz KlasaE;2016;29.99;42.53;-29.5;66.0;84.58;-22.0;48;autoscout24.ch/en/d/11637371
Mercedes-Benz KlasaE;2013;19.9;28.25;-29.6;86.4;129.1;-33.1;216;autoscout24.ch/en/d/11146349
Mercedes-Benz KlasaE;1991;25.8;36.75;-29.8;172.3;181.46;-5.0;365;autoscout24.ch/en/d/10757962
Mercedes-Benz KlasaE;2005;9.101;12.96;-29.8;147.863;165.34;-10.6;50;autoscout24.ch/en/d/11632368
Mercedes-Benz KlasaE;2016;29.8;42.53;-29.9;58.5;84.58;-30.8;78;autoscout24.ch/en/d/11541876
Mercedes-Benz KlasaE;2005;8.9;12.96;-31.3;149.0;165.34;-9.9;112;autoscout24.ch/en/d/11453656
Mercedes-Benz KlasaE;1994;17.9;26.53;-32.5;101.0;145.99;-30.8;205;autoscout24.ch/en/d/11174262
Mercedes-Benz KlasaE;2018;32.9;49.03;-32.9;45.0;86.83;-48.2;137;autoscout24.ch/en/d/11391980
Mercedes-Benz KlasaE;2018;32.9;49.03;-32.9;44.5;86.83;-48.8;198;autoscout24.ch/en/d/11193850
Mercedes-Benz KlasaE;2013;18.9;28.25;-33.1;115.0;129.1;-10.9;185;autoscout24.ch/en/d/11234933
Mercedes-Benz KlasaE;2013;18.8;28.25;-33.5;82.0;129.1;-36.5;58;autoscout24.ch/en/d/11599244
Mercedes-Benz KlasaE;2019;35.9;54.04;-33.6;47.5;69.83;-32.0;13;autoscout24.ch/en/d/11716398
Mercedes-Benz KlasaE;2011;11.999;18.14;-33.9;84.0;139.25;-39.7;129;autoscout24.ch/en/d/11410003
Mercedes-Benz KlasaE;1997;8.9;13.48;-34.0;78.0;120.04;-35.0;564;autoscout24.ch/en/d/10193394
Mercedes-Benz KlasaE;2017;29.49;45.93;-35.8;73.0;93.63;-22.0;633;autoscout24.ch/en/d/8858679
Mercedes-Benz KlasaE;1992;29.9;46.96;-36.3;82.85;187.24;-55.8;139;autoscout24.ch/en/d/11387489
Mercedes-Benz KlasaE;2015;22.8;35.99;-36.6;100.0;110.87;-9.8;174;autoscout24.ch/en/d/11277231
Mercedes-Benz KlasaE;2016;26.9;42.53;-36.8;72.4;84.58;-14.4;140;autoscout24.ch/en/d/11382270
Mercedes-Benz KlasaE;2019;34.0;54.04;-37.1;58.0;69.83;-16.9;426;autoscout24.ch/en/d/10598011
Mercedes-Benz KlasaE;2018;30.8;49.03;-37.2;74.9;86.83;-13.7;181;autoscout24.ch/en/d/11255068
Mercedes-Benz KlasaE;2010;11.111;17.74;-37.4;133.0;140.36;-5.2;4;autoscout24.ch/en/d/11730738
Mercedes-Benz KlasaE;2018;30.0;49.03;-38.8;51.0;86.83;-41.3;24;autoscout24.ch/en/d/11690544
Mercedes-Benz KlasaE;2005;7.9;12.96;-39.0;153.0;165.34;-7.5;34;autoscout24.ch/en/d/11666005
Mercedes-Benz KlasaE;2007;7.9;13.24;-40.3;115.0;164.03;-29.9;367;autoscout24.ch/en/d/10751323
Mercedes-Benz KlasaE;2007;7.85;13.24;-40.7;145.5;164.03;-11.3;10;autoscout24.ch/en/d/11720684
Mercedes-Benz KlasaE;2013;15.9;28.25;-43.7;122.0;129.1;-5.5;24;autoscout24.ch/en/d/11690385
Mercedes-Benz KlasaE;2003;6.9;12.5;-44.8;114.0;153.03;-25.5;21;autoscout24.ch/en/d/11698955
Mercedes-Benz KlasaE;2019;29.49;54.04;-45.4;64.45;69.83;-7.7;77;autoscout24.ch/en/d/11545449
Mercedes-Benz KlasaE;1990;10.7;19.85;-46.1;136.0;181.7;-25.2;370;autoscout24.ch/en/d/10744802
Mercedes-Benz KlasaE;2005;6.49;12.96;-49.9;133.8;165.34;-19.1;338;autoscout24.ch/en/d/10829049
Mercedes-Benz KlasaG;2016;77.9;82.09;-5.1;97.0;110.92;-12.5;119;autoscout24.ch/en/d/11433483
Mercedes-Benz KlasaG;2011;55.555;60.68;-8.4;82.0;112.0;-26.8;633;autoscout24.ch/en/d/9692898
Mercedes-Benz KlasaG;2014;69.0;78.06;-11.6;102.0;117.56;-13.2;339;autoscout24.ch/en/d/10826888
Mercedes-Benz KlasaG;2012;59.99;69.27;-13.4;74.9;79.43;-5.7;9;autoscout24.ch/en/d/11732569
Mercedes-Benz KlasaG;1999;57.4;78.65;-27.0;20.0;71.0;-71.8;633;autoscout24.ch/en/d/9647503
Mercedes-Benz KlasaR;2007;8.9;17.06;-47.8;138.0;175.35;-21.3;49;autoscout24.ch/en/d/11626420
Mercedes-Benz KlasaS;2014;55.6;58.5;-5.0;114.0;122.82;-7.2;58;autoscout24.ch/en/d/11608435
Mercedes-Benz KlasaS;2017;69.8;74.03;-5.7;75.5;84.67;-10.8;71;autoscout24.ch/en/d/11562916
Mercedes-Benz KlasaS;2016;68.0;73.02;-6.9;75.0;98.11;-23.6;464;autoscout24.ch/en/d/10486306
Mercedes-Benz KlasaS;2015;59.9;64.92;-7.7;78.15;102.08;-23.4;10;autoscout24.ch/en/d/11719890
Mercedes-Benz KlasaS;2018;64.7;70.66;-8.4;93.0;98.66;-5.7;62;autoscout24.ch/en/d/11590400
Mercedes-Benz KlasaS;2013;39.5;43.66;-9.5;139.0;157.71;-11.9;144;autoscout24.ch/en/d/11370342
Mercedes-Benz KlasaS;2018;63.9;70.66;-9.6;71.0;98.66;-28.0;76;autoscout24.ch/en/d/11558421
Mercedes-Benz KlasaS;2016;65.9;73.02;-9.8;90.405;98.11;-7.9;22;autoscout24.ch/en/d/11704370
Mercedes-Benz KlasaS;2009;19.9;22.14;-10.1;71.2;152.54;-53.3;36;autoscout24.ch/en/d/11660916
Mercedes-Benz KlasaS;2015;57.9;64.92;-10.8;88.9;102.08;-12.9;288;autoscout24.ch/en/d/10970108
Mercedes-Benz KlasaS;2017;65.9;74.03;-11.0;39.8;84.67;-53.0;402;autoscout24.ch/en/d/10666729
Mercedes-Benz KlasaS;2017;64.9;74.03;-12.3;46.5;84.67;-45.1;499;autoscout24.ch/en/d/10388355
Mercedes-Benz KlasaS;2019;69.9;80.16;-12.8;61.0;66.83;-8.7;597;autoscout24.ch/en/d/10116446
Mercedes-Benz KlasaS;2007;22.9;26.31;-13.0;138.0;150.45;-8.3;52;autoscout24.ch/en/d/11615637
Mercedes-Benz KlasaS;2011;22.5;25.92;-13.2;110.0;146.33;-24.8;2;autoscout24.ch/en/d/11735145
Mercedes-Benz KlasaS;1995;21.8;25.85;-15.7;96.5;108.25;-10.9;633;autoscout24.ch/en/d/5655065
Mercedes-Benz KlasaS;2016;59.999;73.02;-17.8;59.5;98.11;-39.4;8;autoscout24.ch/en/d/11724280
Mercedes-Benz KlasaS;2017;59.9;74.03;-19.1;73.5;84.67;-13.2;13;autoscout24.ch/en/d/11716672
Mercedes-Benz KlasaS;2017;59.8;74.03;-19.2;75.6;84.67;-10.7;114;autoscout24.ch/en/d/11444800
Mercedes-Benz KlasaS;2017;57.9;74.03;-21.8;76.8;84.67;-9.3;198;autoscout24.ch/en/d/11192084
Mercedes-Benz KlasaS;2018;54.8;70.66;-22.4;89.0;98.66;-9.8;298;autoscout24.ch/en/d/10944606
Mercedes-Benz KlasaS;2008;23.99;31.17;-23.0;46.0;119.44;-61.5;266;autoscout24.ch/en/d/11032343
Mercedes-Benz KlasaS;2007;19.9;26.31;-24.4;96.0;150.45;-36.2;323;autoscout24.ch/en/d/10871620
Mercedes-Benz KlasaS;2003;22.0;29.39;-25.1;73.8;106.69;-30.8;14;autoscout24.ch/en/d/11714745
Mercedes-Benz KlasaS;2014;41.9;58.5;-28.4;96.0;122.82;-21.8;45;autoscout24.ch/en/d/11636249
Mercedes-Benz KlasaS;1998;9.9;13.93;-28.9;95.6;168.24;-43.2;313;autoscout24.ch/en/d/10903821
Mercedes-Benz KlasaS;2015;44.99;64.92;-30.7;78.32;102.08;-23.3;90;autoscout24.ch/en/d/11511760
